game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus
76,4/10/1992,29-053,CHI,IND,W (+12),42:00:00,16,30,0.533,1,1,1,2,4,0.5,0,4,4,6,4,0,1,35,26.8,
77,4/11/1992,29-054,CHI,IND,W (+2),37:00:00,8,20,0.4,0,0,,7,7,1,1,4,5,8,5,1,1,23,23.6,
78,4/13/1992,29-056,CHI,ATL,W (+7),23:00,6,12,0.5,0,1,0,0,0,,0,1,1,7,3,1,2,12,12.5,
79,4/17/1992,29-060,CHI,ATL,W (+26),32:00:00,9,16,0.563,0,0,,3,4,0.75,1,3,4,8,0,0,5,21,13.6,
80,4/19/1992,29-062,CHI,DET,W (+18),39:00:00,9,17,0.529,0,0,,14,15,0.933,0,2,2,7,2,1,7,32,23.7,
1,11/6/1992,29-263,CHI,CLE,W (+5),37:00:00,12,26,0.462,0,2,0,5,6,0.833,3,3,6,2,3,3,2,29,22.3,
2,11/7/1992,29-264,CHI,ATL,L (-1),39:00:00,13,29,0.448,1,4,0.25,8,9,0.889,0,4,4,11,4,0,6,35,24.8,
3,11/9/1992,29-266,CHI,IND,W (+5),42:00:00,10,20,0.5,0,1,0,4,5,0.8,0,2,2,12,2,0,4,24,20.2,
4,11/11/1992,29-268,CHI,DET,W (+2),52:00:00,13,24,0.542,3,3,1,8,10,0.8,2,8,10,4,0,1,5,37,26.5,
5,11/13/1992,29-270,CHI,MIL,W (+5),42:00:00,14,31,0.452,0,2,0,6,8,0.75,3,3,6,4,3,2,5,34,21.5,
6,11/14/1992,29-271,CHI,DEN,W (+33),22:00,7,13,0.538,2,5,0.4,2,2,1,0,4,4,7,3,1,2,18,19.1,
7,11/17/1992,29-274,CHI,MIN,W (+21),31:00:00,14,21,0.667,2,2,1,2,3,0.667,1,2,3,5,4,1,3,32,28.6,
8,11/19/1992,29-276,CHI,SEA,W (+9),34:00:00,14,22,0.636,2,4,0.5,5,5,1,1,5,6,2,2,0,2,35,28.4,
9,11/20/1992,29-277,CHI,LAL,L (-2),47:00:00,21,39,0.538,1,2,0.5,11,14,0.786,5,8,13,7,1,3,5,54,41.2,
10,11/22/1992,29-279,CHI,PHO,W (+17),39:00:00,16,27,0.593,0,2,0,8,8,1,0,3,3,7,3,4,1,40,37.7,
11,11/24/1992,29-281,CHI,GSW,W (+9),44:00:00,18,30,0.6,1,3,0.333,12,14,0.857,2,3,5,7,1,1,3,49,39.5,
12,11/28/1992,29-285,CHI,NYK,L (-37),38:00:00,4,20,0.2,0,1,0,9,9,1,3,3,6,4,1,0,0,17,10.6,
13,12/4/1992,29-291,CHI,POR,W (+12),38:00:00,15,25,0.6,1,1,1,7,9,0.778,4,9,13,2,1,0,1,38,32.2,
14,12/5/1992,29-292,CHI,BOS,W (+7),37:00:00,8,20,0.4,0,1,0,8,9,0.889,0,3,3,5,2,0,2,24,16.4,
15,12/8/1992,29-295,CHI,ATL,L (-9),46:00:00,14,28,0.5,2,4,0.5,2,2,1,3,9,12,8,1,0,2,32,25.4,
16,12/9/1992,29-296,CHI,CLE,W (+17),35:00:00,10,22,0.455,1,3,0.333,7,7,1,2,9,11,10,4,2,3,28,29.3,
17,12/11/1992,29-298,CHI,HOU,L (-14),40:00:00,11,23,0.478,1,3,0.333,3,3,1,4,7,11,4,0,1,4,26,17.1,
18,12/12/1992,29-299,CHI,NJN,W (+6),41:00:00,13,26,0.5,3,6,0.5,9,12,0.75,0,6,6,3,1,1,2,38,26.6,
19,12/15/1992,29-302,CHI,CHH,W (+15),33:00:00,11,21,0.524,3,3,1,0,0,,1,3,4,6,3,2,5,25,19.5,
20,12/17/1992,29-304,CHI,WSB,W (+8),40:00:00,12,29,0.414,0,1,0,4,4,1,1,6,7,8,4,2,1,28,23.8,
21,12/19/1992,29-306,CHI,PHI,L (-2),42:00:00,11,26,0.423,1,4,0.25,0,0,,4,6,10,10,4,1,1,23,22.9,
22,12/21/1992,29-308,CHI,MIA,W (+4),43:00:00,6,19,0.316,1,3,0.333,5,6,0.833,3,5,8,3,5,2,2,18,16,
23,12/23/1992,29-310,CHI,WSB,W (+9),42:00:00,22,37,0.595,6,8,0.75,7,8,0.875,0,2,2,10,3,1,1,57,48.6,
24,12/25/1992,29-312,CHI,NYK,W (+12),41:00:00,15,34,0.441,0,4,0,12,16,0.75,0,8,8,5,3,1,4,42,27.4,
25,12/26/1992,29-313,CHI,IND,W (+11),40:00:00,8,22,0.364,1,3,0.333,0,0,,3,6,9,8,1,0,2,17,11.3,
26,12/29/1992,29-316,CHI,CHH,W (+11),42:00:00,9,25,0.36,1,3,0.333,9,10,0.9,4,8,12,11,0,1,3,28,23.9,
27,12/30/1992,29-317,CHI,MIA,W (+5),40:00:00,9,18,0.5,0,1,0,21,24,0.875,1,5,6,8,3,2,1,39,39.2,
28,1/2/1993,29-320,CHI,IND,W (+9),40:00:00,14,27,0.519,2,4,0.5,9,11,0.818,3,5,8,5,1,0,2,39,29.8,
29,1/5/1993,29-323,CHI,LAL,L (-3),41:00:00,15,31,0.484,1,6,0.167,5,6,0.833,0,4,4,5,2,1,1,36,24.7,
30,1/6/1993,29-324,CHI,CLE,L (-22),34:00:00,10,22,0.455,0,1,0,3,5,0.6,2,6,8,3,1,0,2,23,14.7,
